wl,n
6.1,1.2093e-08
6.1051,1.2053e-08
6.1101,1.2014e-08
6.1152,1.1975e-08
6.1202,1.1936e-08
6.1253,1.1897e-08
6.1303,1.1858e-08
6.1354,1.182e-08
6.1404,1.1782e-08
6.1455,1.1743e-08
6.1505,1.1706e-08
6.1556,1.1668e-08
6.1606,1.163e-08
6.1657,1.1593e-08
6.1707,1.1556e-08
6.1758,1.1519e-08
6.1808,1.1482e-08
6.1859,1.1445e-08
6.1909,1.1409e-08
6.196,1.1373e-08
6.201,1.1336e-08
6.2061,1.13e-08
6.2111,1.1265e-08
6.2162,1.1229e-08
6.2212,1.1194e-08
6.2263,1.1158e-08
6.2313,1.1123e-08
6.2364,1.1088e-08
6.2414,1.1054e-08
6.2465,1.1019e-08
6.2515,1.0985e-08
6.2566,1.095e-08
6.2616,1.0916e-08
6.2667,1.0882e-08
6.2717,1.0849e-08
6.2768,1.0815e-08
6.2818,1.0781e-08
6.2869,1.0748e-08
6.2919,1.0715e-08
6.297,1.0682e-08
6.302,1.0649e-08
6.3071,1.0616e-08
6.3121,1.0584e-08
6.3172,1.0551e-08
6.3222,1.0519e-08
6.3273,1.0487e-08
6.3323,1.0455e-08
6.3374,1.0423e-08
6.3424,1.0392e-08
6.3475,1.036e-08
6.3525,1.0329e-08
6.3576,1.0298e-08
6.3626,1.0267e-08
6.3677,1.0236e-08
6.3727,1.0205e-08
6.3778,1.0174e-08
6.3828,1.0144e-08
6.3879,1.0113e-08
6.3929,1.0083e-08
6.398,1.0053e-08
6.403,1.0023e-08
6.4081,9.9934e-09
6.4131,9.9638e-09
6.4182,9.9342e-09
6.4232,9.9048e-09
6.4283,9.8756e-09
6.4333,9.8464e-09
6.4384,9.8174e-09
6.4434,9.7885e-09
6.4485,9.7598e-09
6.4535,9.7312e-09
6.4586,9.7027e-09
6.4636,9.6743e-09
6.4687,9.6461e-09
6.4737,9.618e-09
6.4788,9.59e-09
6.4838,9.5621e-09
6.4889,9.5344e-09
6.4939,9.5068e-09
6.499,9.4793e-09
6.504,9.4519e-09
6.5091,9.4247e-09
6.5141,9.3976e-09
6.5192,9.3706e-09
6.5242,9.3437e-09
6.5293,9.3169e-09
6.5343,9.2903e-09
6.5394,9.2637e-09
6.5444,9.2373e-09
6.5495,9.211e-09
6.5545,9.1849e-09
6.5596,9.1588e-09
6.5646,9.1328e-09
6.5697,9.107e-09
6.5747,9.0813e-09
6.5798,9.0556e-09
6.5848,9.0301e-09
6.5899,9.0047e-09
6.5949,8.9795e-09
6.6,8.9543e-09
